n.id,n.name,synonym,synonym w/o disease,status
MESH:C000657245,COVID-19,[OBSOLETE] 2019 novel coronavirus disease,[OBSOLETE] 2019 novel coronavirus,remove
MESH:C000657245,COVID-19,[OBSOLETE] 2019-nCoV disease,[OBSOLETE] 2019-nCoV,remove
MESH:C538676,Melanodermic leukodystrophy,[OBSOLETE] Bronze Schilder disease,[OBSOLETE] Bronze Schilder,remove
MESH:C000657245,COVID-19,[OBSOLETE] COVID-19 virus disease,[OBSOLETE] COVID-19 virus,remove
MESH:C537000,Ledderhose disease,[OBSOLETE] Ledderhose disease,[OBSOLETE] Ledderhose,remove
MESH:C580420,Ren-Related Kidney Disease,[OBSOLETE] Ren-Related Kidney Disease,[OBSOLETE] Ren-Related Kidney,remove
MESH:C538676,Melanodermic leukodystrophy,[OBSOLETE] Siemerling-Creutzfeldt disease,[OBSOLETE] Siemerling-Creutzfeldt,remove
MESH:C538616,Paramyotonia congenita of Von Eulenburg,[OBSOLETE] Von Eulenberg's Disease,[OBSOLETE] Von Eulenberg's,remove
MESH:D000086382,COVID-19,2019 nCoV Disease,2019 nCoV,remove
MESH:C000657245,COVID-19,2019 novel coronavirus disease,2019 novel coronavirus,remove
MESH:D000086382,COVID-19,2019 Novel Coronavirus Disease,2019 Novel Coronavirus,remove
MESH:C000657245,COVID-19,2019-nCoV disease,2019-nCoV,remove
MESH:D000086382,COVID-19,2019-nCoV Disease,2019-nCoV,remove
MESH:D020176,Tyrosinemias,4 Hydroxyphenol Pyruvic Acid Oxidase Deficiency Disease,4 Hydroxyphenol Pyruvic Acid Oxidase Deficiency,
MESH:D020176,Tyrosinemias,4 Hydroxyphenylpyruvate Dioxygenase Deficiency Disease,4 Hydroxyphenylpyruvate Dioxygenase Deficiency,
MESH:D020176,Tyrosinemias,4-Hydroxyphenol Pyruvic Acid Oxidase Deficiency Disease,4-Hydroxyphenol Pyruvic Acid Oxidase Deficiency,
MESH:C563781,"Erythrokeratoderma, Reticular",Aarau Disease,Aarau,
MESH:C535331,Aarskog Syndrome,Aarskog Disease,Aarskog,
MESH:C579754,abc disease,abc disease,abc,remove
MESH:C535335,Abderhalden-Kaufmann-Lignac syndrome,Abderhalden-Lignac-Kaufmann disease,Abderhalden-Lignac-Kaufmann,
MESH:D020434,Abducens Nerve Diseases,Abducens Nerve Disease,Abducens Nerve,remove
